Iter.  R0.in(2)       R0.out(3)      R1.in(4)       R1.out(5)      R2.in(6)       R2.out(7)      R3.in(8)       R3.out(9)      R4.in(10)      R4.out(11)     R5.in(12)      R5.out(13)     R6.in(14)      R6.out(15)     R7.in(16)      R7.out(17)     R8.in(18)      R8.out(19)     R9.in(20)      R9.out(21)     R10.in(22)     R10.out(23)    R11.in(24)     R11.out(25)    R12.in(26)     R12.out(27)    R13.in(28)     R13.out(29)    R14.in(30)     R14.out(31)    R15.in(32)     R15.out(33)    R16.in(34)     R16.out(35)    
30     7.621134e-02   8.382140e-02   9.530523e-02   9.933820e-02   8.138404e-02   8.139596e-02   9.418931e-02   1.020527e-01   8.931338e-02   8.987314e-02   5.651559e-02   7.880870e-02   4.219202e-05   4.219204e-05   7.141000e-02   8.500270e-02   7.990779e-02   9.938044e-02   5.776393e-02   6.956912e-02   8.136864e-02   8.134646e-02   5.676745e-05   5.677818e-05   2.270837e-02   2.649059e-02   3.669296e-02   4.581638e-02   3.352952e-02   3.731991e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
31     7.730251e-02   8.491239e-02   9.588488e-02   9.984441e-02   8.301098e-02   8.302115e-02   9.450371e-02   1.022274e-01   9.044137e-02   9.098999e-02   5.708892e-02   7.909775e-02   4.312176e-05   4.312178e-05   7.203012e-02   8.548982e-02   8.023198e-02   9.940180e-02   5.834402e-02   7.003104e-02   8.299329e-02   8.295834e-02   5.791825e-05   5.792877e-05   2.315449e-02   2.697877e-02   3.731991e-02   4.640091e-02   3.409171e-02   3.790650e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
32     7.831028e-02   8.591767e-02   9.639290e-02   1.002786e-01   8.452622e-02   8.453461e-02   9.475991e-02   1.023430e-01   9.147533e-02   9.201278e-02   5.761526e-02   7.934046e-02   4.399561e-05   4.399563e-05   7.259304e-02   8.591847e-02   8.050769e-02   9.937337e-02   5.887583e-02   7.044406e-02   8.450624e-02   8.445821e-02   5.899734e-05   5.900766e-05   2.356954e-02   2.743519e-02   3.790650e-02   4.694280e-02   3.461552e-02   3.845375e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
33     7.923709e-02   8.683969e-02   9.683136e-02   1.006427e-01   8.593296e-02   8.593955e-02   9.495968e-02   1.024011e-01   9.241792e-02   9.294420e-02   5.809599e-02   7.953845e-02   4.481500e-05   4.481502e-05   7.310049e-02   8.629049e-02   8.073656e-02   9.929667e-02   5.936075e-02   7.080974e-02   8.591071e-02   8.584931e-02   6.000657e-05   6.001670e-05   2.395442e-02   2.786064e-02   3.845375e-02   4.744318e-02   3.510194e-02   3.896263e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
34     8.008533e-02   8.768082e-02   9.720223e-02   1.009388e-01   8.723432e-02   8.723909e-02   9.510472e-02   1.024033e-01   9.327177e-02   9.378685e-02   5.853244e-02   7.969327e-02   4.558134e-05   4.558136e-05   7.355418e-02   8.660766e-02   8.092018e-02   9.917314e-02   5.980010e-02   7.112958e-02   8.720981e-02   8.713478e-02   6.094770e-05   6.095764e-05   2.431002e-02   2.825591e-02   3.896263e-02   4.790312e-02   3.555195e-02   3.943409e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
35     8.085728e-02   8.844337e-02   9.750742e-02   1.011687e-01   8.843335e-02   8.843628e-02   9.519670e-02   1.023513e-01   9.403940e-02   9.454329e-02   5.892590e-02   7.980642e-02   4.629597e-05   4.629599e-05   7.395572e-02   8.687169e-02   8.106010e-02   9.900420e-02   6.019516e-02   7.140501e-02   8.840660e-02   8.831771e-02   6.182248e-05   6.183223e-05   2.463718e-02   2.862177e-02   3.943409e-02   4.832369e-02   3.596652e-02   3.986902e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
36     8.155520e-02   8.912958e-02   9.774881e-02   1.013342e-01   8.953303e-02   8.953410e-02   9.523718e-02   1.022465e-01   9.472328e-02   9.521597e-02   5.927759e-02   7.987933e-02   4.696020e-05   4.696022e-05   7.430669e-02   8.708424e-02   8.115780e-02   9.879121e-02   6.054717e-02   7.163744e-02   8.950406e-02   8.940112e-02   6.263257e-05   6.264214e-05   2.493673e-02   2.895895e-02   3.986902e-02   4.870591e-02   3.634655e-02   4.026831e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
37     8.218128e-02   8.974165e-02   9.792818e-02   1.014373e-01   9.053625e-02   9.053547e-02   9.522773e-02   1.020904e-01   9.532584e-02   9.580732e-02   5.958872e-02   7.991342e-02   4.757531e-05   4.757532e-05   7.460862e-02   8.724692e-02   8.121470e-02   9.853549e-02   6.085735e-02   7.182821e-02   9.050509e-02   9.038793e-02   6.337960e-05   6.338898e-05   2.520950e-02   2.926817e-02   4.026831e-02   4.905076e-02   3.669295e-02   4.063283e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
38     8.273764e-02   9.028171e-02   9.804730e-02   1.014795e-01   9.144586e-02   9.144322e-02   9.516982e-02   1.018843e-01   9.584940e-02   9.631966e-02   5.986044e-02   7.991004e-02   4.814252e-05   4.814253e-05   7.486299e-02   8.736128e-02   8.123221e-02   9.823830e-02   6.112686e-02   7.197862e-02   9.141253e-02   9.128101e-02   6.406513e-05   6.407433e-05   2.545627e-02   2.955011e-02   4.063283e-02   4.935923e-02   3.700658e-02   4.096339e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
39     8.322635e-02   9.075183e-02   9.810786e-02   1.014625e-01   9.226462e-02   9.226010e-02   9.506490e-02   1.016298e-01   9.629625e-02   9.675530e-02   6.009390e-02   7.987049e-02   4.866303e-05   4.866304e-05   7.507124e-02   8.742884e-02   8.121167e-02   9.790086e-02   6.135684e-02   7.208997e-02   9.222914e-02   9.208314e-02   6.469069e-05   6.469972e-05   2.567781e-02   2.980545e-02   4.096339e-02   4.963225e-02   3.728830e-02   4.126081e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
40     8.364943e-02   9.115404e-02   9.811152e-02   1.013881e-01   9.299521e-02   9.298883e-02   9.491437e-02   1.013281e-01   9.666862e-02   9.711643e-02   6.029020e-02   7.979605e-02   4.913799e-05   4.913801e-05   7.523476e-02   8.745105e-02   8.115438e-02   9.752435e-02   6.154839e-02   7.216347e-02   9.295762e-02   9.279705e-02   6.525776e-05   6.526662e-05   2.587489e-02   3.003485e-02   4.126081e-02   4.987075e-02   3.753891e-02   4.152586e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
41     8.400882e-02   9.149030e-02   9.805987e-02   1.012578e-01   9.364025e-02   9.363201e-02   9.471957e-02   1.009805e-01   9.696865e-02   9.740524e-02   6.045039e-02   7.968795e-02   4.956854e-05   4.956856e-05   7.535492e-02   8.742934e-02   8.106161e-02   9.710991e-02   6.170260e-02   7.220032e-02   9.360058e-02   9.342539e-02   6.576778e-05   6.577647e-05   2.604823e-02   3.023894e-02   4.152586e-02   5.007562e-02   3.775923e-02   4.175932e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
42     8.430644e-02   9.176252e-02   9.795446e-02   1.010731e-01   9.420231e-02   9.419221e-02   9.448182e-02   1.005882e-01   9.719847e-02   9.762381e-02   6.057553e-02   7.954739e-02   4.995576e-05   4.995578e-05   7.543303e-02   8.736507e-02   8.093458e-02   9.665863e-02   6.182050e-02   7.220170e-02   9.416059e-02   9.397073e-02   6.622215e-05   6.623067e-05   2.619855e-02   3.041833e-02   4.175932e-02   5.024775e-02   3.795002e-02   4.196191e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
43     8.454414e-02   9.197259e-02   9.779681e-02   1.008355e-01   9.468386e-02   9.467191e-02   9.420236e-02   1.001524e-01   9.736010e-02   9.777419e-02   6.066662e-02   7.937551e-02   5.030071e-05   5.030073e-05   7.547037e-02   8.725957e-02   8.077448e-02   9.617156e-02   6.190313e-02   7.216872e-02   9.464014e-02   9.443560e-02   6.662222e-05   6.663058e-05   2.632655e-02   3.057364e-02   4.196191e-02   5.038800e-02   3.811204e-02   4.213437e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
44     8.472372e-02   9.212230e-02   9.758837e-02   1.005464e-01   9.508733e-02   9.507355e-02   9.388243e-02   9.967435e-02   9.745554e-02   9.785837e-02   6.072466e-02   7.917343e-02   5.060443e-05   5.060445e-05   7.546820e-02   8.711412e-02   8.058246e-02   9.564970e-02   6.195146e-02   7.210250e-02   9.504164e-02   9.482243e-02   6.696932e-05   6.697751e-05   2.643290e-02   3.070543e-02   4.213437e-02   5.049720e-02   3.824604e-02   4.227739e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
45     8.484692e-02   9.221342e-02   9.733056e-02   1.002073e-01   9.541508e-02   9.539947e-02   9.352318e-02   9.915507e-02   9.748672e-02   9.787828e-02   6.075061e-02   7.894224e-02   5.086792e-05   5.086794e-05   7.542770e-02   8.692998e-02   8.035961e-02   9.509401e-02   6.196647e-02   7.200408e-02   9.536745e-02   9.513361e-02   6.726474e-05   6.727276e-05   2.651827e-02   3.081430e-02   4.227739e-02   5.057618e-02   3.835273e-02   4.239166e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
